 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
 2909.8367    3.0000    1.4997    1.4988    1.4097    0.8599    3.6857    0.2187  1.2801E+00     -1.4948  2.3987E+01
 2910.3755    3.0000    1.4997    1.4988    1.4149    0.8630    3.6855    0.2192  1.2796E+00     -1.4948  2.3651E+01
 2910.9092    3.0000    1.4997    1.4988    1.4201    0.8662    3.6852    0.2196  1.2792E+00     -1.4948  2.3320E+01
 2911.4373    3.0000    1.4997    1.4988    1.4254    0.8693    3.6850    0.2201  1.2787E+00     -1.4948  2.2994E+01
 2911.9602    3.0000    1.4997    1.4988    1.4306    0.8724    3.6847    0.2205  1.2783E+00     -1.4948  2.2673E+01
 2912.4778    3.0000    1.4997    1.4988    1.4358    0.8755    3.6845    0.2210  1.2778E+00     -1.4948  2.2356E+01
 2912.9905    3.0000    1.4997    1.4987    1.4411    0.8786    3.6842    0.2214  1.2773E+00     -1.4948  2.2043E+01
 2913.4978    3.0000    1.4997    1.4987    1.4463    0.8818    3.6840    0.2218  1.2769E+00     -1.4948  2.1735E+01
 2914.0000    3.0000    1.4997    1.4987    1.4516    0.8849    3.6837    0.2223  1.2764E+00     -1.4948  2.1431E+01
 2914.4973    3.0000    1.4997    1.4987    1.4568    0.8880    3.6835    0.2227  1.2760E+00     -1.4948  2.1132E+01
 2914.9897    3.0000    1.4997    1.4987    1.4620    0.8911    3.6832    0.2232  1.2755E+00     -1.4948  2.0837E+01
 2915.4771    3.0000    1.4997    1.4987    1.4673    0.8943    3.6829    0.2236  1.2750E+00     -1.4948  2.0546E+01
 2915.9597    3.0000    1.4997    1.4987    1.4725    0.8974    3.6827    0.2241  1.2746E+00     -1.4948  2.0259E+01
 2916.4373    3.0000    1.4997    1.4986    1.4777    0.9006    3.6824    0.2245  1.2741E+00     -1.4948  1.9976E+01
 2916.9102    3.0000    1.4997    1.4986    1.4830    0.9037    3.6822    0.2250  1.2736E+00     -1.4948  1.9697E+01
 2917.3784    3.0000    1.4997    1.4986    1.4882    0.9068    3.6819    0.2254  1.2732E+00     -1.4948  1.9422E+01
 2917.8420    3.0000    1.4997    1.4986    1.4935    0.9100    3.6816    0.2259  1.2727E+00     -1.4948  1.9151E+01
 2918.3008    3.0000    1.4997    1.4986    1.4987    0.9131    3.6814    0.2264  1.2722E+00     -1.4948  1.8884E+01
 2918.7551    3.0000    1.4997    1.4986    1.5039    0.9163    3.6811    0.2268  1.2718E+00     -1.4948  1.8620E+01
 2919.2048    3.0000    1.4997    1.4985    1.5092    0.9194    3.6809    0.2273  1.2713E+00     -1.4948  1.8361E+01
 2919.6501    3.0000    1.4997    1.4985    1.5144    0.9226    3.6806    0.2277  1.2708E+00     -1.4948  1.8104E+01
 2920.0908    3.0000    1.4997    1.4985    1.5196    0.9257    3.6803    0.2282  1.2703E+00     -1.4948  1.7852E+01
 2920.5273    3.0000    1.4997    1.4985    1.5249    0.9289    3.6801    0.2286  1.2699E+00     -1.4948  1.7603E+01
 2920.9592    3.0000    1.4997    1.4985    1.5301    0.9320    3.6798    0.2291  1.2694E+00     -1.4948  1.7358E+01
 2921.3870    3.0000    1.4997    1.4985    1.5354    0.9352    3.6795    0.2296  1.2689E+00     -1.4948  1.7116E+01
 2921.8103    3.0000    1.4997    1.4984    1.5406    0.9384    3.6792    0.2300  1.2684E+00     -1.4948  1.6877E+01
 2922.2295    3.0000    1.4997    1.4984    1.5458    0.9415    3.6790    0.2305  1.2679E+00     -1.4948  1.6642E+01
 2922.6445    3.0000    1.4997    1.4984    1.5511    0.9447    3.6787    0.2309  1.2675E+00     -1.4948  1.6410E+01
 2923.0554    3.0000    1.4997    1.4984    1.5563    0.9479    3.6784    0.2314  1.2670E+00     -1.4948  1.6181E+01
 2923.4622    3.0000    1.4997    1.4984    1.5615    0.9510    3.6781    0.2319  1.2665E+00     -1.4948  1.5955E+01
 2923.8647    3.0000    1.4997    1.4984    1.5668    0.9542    3.6779    0.2323  1.2660E+00     -1.4948  1.5733E+01
 2924.2634    3.0000    1.4997    1.4983    1.5720    0.9574    3.6776    0.2328  1.2655E+00     -1.4948  1.5514E+01
 2924.6582    3.0000    1.4997    1.4983    1.5773    0.9605    3.6773    0.2333  1.2650E+00     -1.4948  1.5298E+01
 2925.0488    3.0000    1.4997    1.4983    1.5825    0.9637    3.6770    0.2337  1.2646E+00     -1.4948  1.5084E+01
 2925.4358    3.0000    1.4997    1.4983    1.5877    0.9669    3.6768    0.2342  1.2641E+00     -1.4948  1.4874E+01
 2925.8186    3.0000    1.4997    1.4983    1.5930    0.9701    3.6765    0.2347  1.2636E+00     -1.4948  1.4667E+01
 2926.1978    3.0000    1.4997    1.4983    1.5982    0.9733    3.6762    0.2352  1.2631E+00     -1.4948  1.4463E+01
 2926.5730    3.0000    1.4997    1.4982    1.6034    0.9764    3.6759    0.2356  1.2626E+00     -1.4948  1.4261E+01
 2926.9446    3.0000    1.4997    1.4982    1.6087    0.9796    3.6756    0.2361  1.2621E+00     -1.4948  1.4062E+01
 2927.3125    3.0000    1.4997    1.4982    1.6139    0.9828    3.6753    0.2366  1.2616E+00     -1.4948  1.3866E+01
 2927.6765    3.0000    1.4997    1.4982    1.6192    0.9860    3.6751    0.2371  1.2611E+00     -1.4948  1.3673E+01
 2928.0371    3.0000    1.4997    1.4982    1.6244    0.9892    3.6748    0.2375  1.2606E+00     -1.4948  1.3483E+01
 2928.3940    3.0000    1.4997    1.4981    1.6296    0.9924    3.6745    0.2380  1.2601E+00     -1.4948  1.3295E+01
 2928.7473    3.0000    1.4997    1.4981    1.6349    0.9956    3.6742    0.2385  1.2596E+00     -1.4948  1.3109E+01
 2929.0972    3.0000    1.4997    1.4981    1.6401    0.9988    3.6739    0.2390  1.2591E+00     -1.4948  1.2927E+01
 2929.4436    3.0000    1.4997    1.4981    1.6453    1.0020    3.6736    0.2395  1.2586E+00     -1.4948  1.2747E+01
 2929.7864    3.0000    1.4997    1.4981    1.6506    1.0052    3.6733    0.2399  1.2581E+00     -1.4948  1.2569E+01
 2930.1257    3.0000    1.4997    1.4980    1.6558    1.0084    3.6730    0.2404  1.2576E+00     -1.4948  1.2394E+01
 2930.4619    3.0000    1.4997    1.4980    1.6611    1.0116    3.6727    0.2409  1.2571E+00     -1.4948  1.2221E+01
 2930.7947    3.0000    1.4997    1.4980    1.6663    1.0148    3.6724    0.2414  1.2566E+00     -1.4948  1.2051E+01
 2931.1240    3.0000    1.4997    1.4980    1.6715    1.0180    3.6721    0.2419  1.2561E+00     -1.4948  1.1883E+01
 2931.4500    3.0000    1.4997    1.4980    1.6768    1.0212    3.6718    0.2424  1.2556E+00     -1.4948  1.1717E+01
 2931.7727    3.0000    1.4997    1.4979    1.6820    1.0245    3.6715    0.2428  1.2551E+00     -1.4948  1.1554E+01
 2932.0923    3.0000    1.4997    1.4979    1.6873    1.0277    3.6712    0.2433  1.2546E+00     -1.4948  1.1393E+01
 2932.4087    3.0000    1.4997    1.4979    1.6925    1.0309    3.6709    0.2438  1.2541E+00     -1.4948  1.1234E+01
 2932.7219    3.0000    1.4997    1.4979    1.6977    1.0341    3.6706    0.2443  1.2535E+00     -1.4948  1.1077E+01
 2933.0320    3.0000    1.4997    1.4978    1.7030    1.0373    3.6703    0.2448  1.2530E+00     -1.4948  1.0923E+01
 2933.3389    3.0000    1.4997    1.4978    1.7082    1.0406    3.6700    0.2453  1.2525E+00     -1.4948  1.0770E+01
 2933.6428    3.0000    1.4997    1.4978    1.7134    1.0438    3.6697    0.2458  1.2520E+00     -1.4948  1.0620E+01
 2933.9436    3.0000    1.4997    1.4978    1.7187    1.0470    3.6694    0.2463  1.2515E+00     -1.4948  1.0472E+01
 2934.2415    3.0000    1.4997    1.4978    1.7239    1.0502    3.6691    0.2468  1.2510E+00     -1.4948  1.0326E+01
 2934.5364    3.0000    1.4997    1.4977    1.7292    1.0535    3.6688    0.2473  1.2504E+00     -1.4948  1.0182E+01
 2934.8284    3.0000    1.4997    1.4977    1.7344    1.0567    3.6685    0.2478  1.2499E+00     -1.4948  1.0040E+01
 2935.1174    3.0000    1.4997    1.4977    1.7396    1.0599    3.6682    0.2483  1.2494E+00     -1.4948  9.8997E+00
 2935.4036    3.0000    1.4997    1.4977    1.7449    1.0632    3.6679    0.2488  1.2489E+00     -1.4948  9.7616E+00
