           6
   104.171310    
   104.601578    
   104.849945    
   120.358749    
   121.142197    
   121.768318    
 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  104.8128    3.0000    4.9918    4.9910    3.3631    1.9705    3.6188    0.8612  4.0827E+00     -0.2520  1.6023E+00
  104.8145    3.0000    4.9918    4.9910    3.3686    1.9743    3.6183    0.8612  4.0927E+00     -0.2520  1.5735E+00
  104.8163    3.0000    4.9918    4.9909    3.3740    1.9782    3.6177    0.8613  4.1016E+00     -0.2520  1.5452E+00
  104.8180    3.0000    4.9918    4.9909    3.3795    1.9820    3.6171    0.8613  4.1093E+00     -0.2520  1.5175E+00
  104.8196    3.0000    4.9918    4.9909    3.3850    1.9859    3.6166    0.8613  4.1159E+00     -0.2520  1.4902E+00
  104.8213    3.0000    4.9918    4.9909    3.3904    1.9897    3.6160    0.8613  4.1212E+00     -0.2520  1.4635E+00
  104.8230    3.0000    4.9918    4.9909    3.3959    1.9936    3.6155    0.8613  4.1253E+00     -0.2520  1.4373E+00
  104.8246    3.0000    4.9918    4.9909    3.4013    1.9974    3.6149    0.8614  4.1280E+00     -0.2520  1.4115E+00
  104.8262    3.0000    4.9918    4.9908    3.4068    2.0013    3.6143    0.8614  4.1293E+00     -0.2520  1.3862E+00
  104.8279    3.0000    4.9918    4.9908    3.4122    2.0051    3.6138    0.8614  4.1294E+00     -0.2520  1.3614E+00
  104.8294    3.0000    4.9918    4.9908    3.4177    2.0090    3.6132    0.8614  4.1294E+00     -0.2520  1.3371E+00
  104.8310    3.0000    4.9918    4.9908    3.4231    2.0128    3.6126    0.8614  4.1294E+00     -0.2520  1.3132E+00
  104.8326    3.0000    4.9918    4.9908    3.4286    2.0167    3.6121    0.8615  4.1293E+00     -0.2520  1.2897E+00
  104.8341    3.0000    4.9918    4.9908    3.4341    2.0205    3.6115    0.8615  4.1293E+00     -0.2520  1.2667E+00
  104.8357    3.0000    4.9918    4.9907    3.4395    2.0244    3.6109    0.8615  4.1292E+00     -0.2520  1.2441E+00
  104.8372    3.0000    4.9918    4.9907    3.4450    2.0283    3.6104    0.8615  4.1292E+00     -0.2520  1.2219E+00
  104.8387    3.0000    4.9918    4.9907    3.4504    2.0321    3.6098    0.8615  4.1292E+00     -0.2520  1.2001E+00
  104.8401    3.0000    4.9918    4.9907    3.4559    2.0360    3.6092    0.8616  4.1291E+00     -0.2520  1.1787E+00
  104.8416    3.0000    4.9918    4.9907    3.4613    2.0399    3.6087    0.8616  4.1291E+00     -0.2520  1.1577E+00
  104.8431    3.0000    4.9918    4.9907    3.4668    2.0437    3.6081    0.8616  4.1291E+00     -0.2520  1.1370E+00
  104.8445    3.0000    4.9918    4.9906    3.4722    2.0476    3.6075    0.8616  4.1290E+00     -0.2520  1.1168E+00
  104.8459    3.0000    4.9918    4.9906    3.4777    2.0515    3.6070    0.8616  4.1290E+00     -0.2520  1.0969E+00
  104.8474    3.0000    4.9918    4.9906    3.4832    2.0553    3.6064    0.8617  4.1289E+00     -0.2520  1.0774E+00
  104.8487    3.0000    4.9918    4.9906    3.4886    2.0592    3.6058    0.8617  4.1289E+00     -0.2520  1.0582E+00
  104.8499    4.0000    4.9918    4.9906    3.4934    2.0625    3.6053    0.8617  4.1289E+00     -0.2520  1.0419E+00
  105.0050    4.0000    4.9918    4.9883    3.4573    2.0371    3.6091    0.8649  4.1234E+00     -0.2520  1.1714E+00
  105.1601    4.0000    4.9918    4.9864    3.4233    2.0131    3.6125    0.8682  4.1182E+00     -0.2520  1.3090E+00
  105.3152    4.0000    4.9918    4.9847    3.3913    1.9905    3.6158    0.8714  4.1132E+00     -0.2520  1.4540E+00
  105.4703    4.0000    4.9918    4.9832    3.3612    1.9693    3.6189    0.8747  4.1085E+00     -0.2520  1.6057E+00
  105.6254    4.0000    4.9918    4.9819    3.3329    1.9495    3.6217    0.8779  4.1039E+00     -0.2520  1.7632E+00
  105.7805    4.0000    4.9918    4.9807    3.3064    1.9309    3.6244    0.8812  4.0995E+00     -0.2520  1.9253E+00
  105.9356    4.0000    4.9918    4.9796    3.2817    1.9136    3.6269    0.8844  4.0951E+00     -0.2520  2.0910E+00
  106.0907    4.0000    4.9918    4.9786    3.2587    1.8975    3.6292    0.8877  4.0909E+00     -0.2520  2.2589E+00
  106.2457    4.0000    4.9918    4.9777    3.2373    1.8825    3.6313    0.8909  4.0868E+00     -0.2520  2.4278E+00
  106.4008    4.0000    4.9918    4.9769    3.2174    1.8687    3.6333    0.8942  4.0827E+00     -0.2520  2.5964E+00
  106.5559    4.0000    4.9918    4.9761    3.1991    1.8559    3.6351    0.8974  4.0787E+00     -0.2520  2.7632E+00
  106.7110    4.0000    4.9918    4.9754    3.1822    1.8441    3.6368    0.9007  4.0747E+00     -0.2520  2.9270E+00
  106.8661    4.0000    4.9918    4.9748    3.1666    1.8333    3.6383    0.9039  4.0708E+00     -0.2520  3.0866E+00
  107.0212    4.0000    4.9918    4.9741    3.1524    1.8234    3.6397    0.9072  4.0669E+00     -0.2520  3.2406E+00
  107.1763    4.0000    4.9918    4.9736    3.1395    1.8144    3.6409    0.9105  4.0631E+00     -0.2520  3.3881E+00
  107.3314    4.0000    4.9918    4.9730    3.1278    1.8063    3.6421    0.9137  4.0593E+00     -0.2520  3.5281E+00
  107.4864    4.0000    4.9918    4.9725    3.1172    1.7989    3.6431    0.9170  4.0555E+00     -0.2520  3.6598E+00
  107.6415    4.0000    4.9918    4.9719    3.1077    1.7923    3.6440    0.9202  4.0517E+00     -0.2520  3.7825E+00
  107.7966    4.0000    4.9918    4.9714    3.0993    1.7865    3.6448    0.9235  4.0480E+00     -0.2520  3.8958E+00
  107.9517    4.0000    4.9918    4.9710    3.0918    1.7813    3.6456    0.9267  4.0443E+00     -0.2520  3.9992E+00
  108.1068    4.0000    4.9918    4.9705    3.0852    1.7768    3.6462    0.9300  4.0405E+00     -0.2520  4.0926E+00
  108.2619    4.0000    4.9918    4.9700    3.0795    1.7728    3.6467    0.9332  4.0368E+00     -0.2520  4.1760E+00
  108.4170    4.0000    4.9918    4.9696    3.0746    1.7694    3.6472    0.9365  4.0331E+00     -0.2520  4.2495E+00
