pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
DP Leo,b,DP Leo b,Eclipse Timing Variations,10220,730,-730,0,8.19,0.39,-0.39,0,0.39,0.13,-0.13,0,305.06,28.94,-28.94,0,18.633,,0,Yunnan Astronomical Observatory
DS Tuc A,b,DS Tuc A b,Transit,8.138268,0.000011,-0.000011,0,,,,0,0,,,0,44.12,0.07,-0.07,0,8.319,,0,Transiting Exoplanet Survey Satellite (TESS)
EPIC 201238110,b,EPIC 201238110 b,Transit,28.1656,0.0027,-0.0028,0,,,,0,,,,0,159.98,1.4,-1.4,0,15.261,,0,K2
EPIC 201497682,b,EPIC 201497682 b,Transit,2.13174,0.00022,-0.00022,0,,,,0,,,,0,254.88,1.68,-1.68,0,13.737,,0,K2
K2-166,c,EPIC 201615463 c,Transit,3.80464,0.00091,-0.00105,0,,,,0,,,,0,481,9.7,-8.9,0,11.946,,0,K2
K2-16,d,EPIC 201754305 d,Transit,2.71578,0.00031,-0.00031,0,,,,0,,,,0,338.19,4.23,-4.23,0,14.323,,0,K2
K2-50,c,EPIC 201833600 c,Transit,3.96151,0.00046,-0.00051,0,,,,0,,,,0,259.33,3.26,-3.26,0,14.258,,0,K2
EPIC 201841433,b,EPIC 201841433 b,Transit,4.16959,0.00051,-0.00053,0,,,,0,,,,0,441.94,8.17,-8.17,0,14.589,,0,K2
K2-168,c,EPIC 205950854 c,Transit,8.050722,0.000075,-0.000038,0,,,,0,,,,0,245.56,4.19,-4.19,0,12.098,,0,K2
EPIC 206024342,b,EPIC 206024342 b,Transit,4.50756,0.00062,-0.0006,0,,,,0,,,,0,373.81,4.99,-4.99,0,12.968,,0,K2
EPIC 206032309,b,EPIC 206032309 b,Transit,2.87814,0.00023,-0.00026,0,,,,0,,,,0,162.09,1.8,-1.8,0,16.069,,0,K2
EPIC 206042996,b,EPIC 206042996 b,Transit,5.29711,0.00074,-0.0007,0,,,,0,,,,0,457.27,13.79,-13.79,0,15.975,,0,K2
EPIC 206215704,b,EPIC 206215704 b,Transit,2.25372,0.00047,-0.00047,0,,,,0,,,,0,110.22,1.08,-1.08,0,16.172,,0,K2
EPIC 206317286,b,EPIC 206317286 b,Transit,1.58252,0.00017,-0.00018,0,,,,0,,,,0,317.2,2.94,-2.94,0,13.774,,0,K2
EPIC 211822797,b,EPIC 211822797 b,Transit,21.169861,0.001725,-0.001695,0,0.131,0.004,-0.005,0,0.06,0.13597,-0.048705,0,187.19,1.37,-1.37,0,14.526,,0,K2
EPIC 211945201,b,EPIC 211945201 b,Transit,19.49221,0.000666,-0.000653,0,0.1493,0.0015,-0.0015,0,,,,0,182.69,1.29,-1.29,0,10.051,,0,K2
EPIC 212297394,b,EPIC 212297394 b,Transit,2.28943,0.00019,-0.00019,0,,,,0,,,,0,423.35,7.34,-7.34,0,14.186,,0,K2
EPIC 212424622,b,EPIC 212424622 b,Transit,18.0983,0.006,-0.0058,0,,,,0,,,,0,622.67,10.4,-10.4,0,13.203,,0,K2
EPIC 212499991,b,EPIC 212499991 b,Transit,34.885,0.011,-0.01,0,,,,0,,,,0,285.61,2.05,-2.05,0,13.312,,0,K2
EPIC 212587672,b,EPIC 212587672 b,Transit,15.2841,0.0037,-0.0029,0,,,,0,,,,0,322.88,6.33,-6.33,0,12.204,,0,K2
EPIC 212737443,b,EPIC 212737443 b,Transit,13.603,0.0013,-0.0013,0,0.098,0.004,-0.004,0,0.2,0.2,-0.2,0,347.45,12.01,-12.01,0,14.478,,0,K2
EPIC 212737443,c,EPIC 212737443 c,Transit,65.55,0.0089,-0.0089,0,0.28,0.006,-0.006,0,0.2,0.2,-0.2,0,347.45,12.01,-12.01,0,14.478,,0,K2
K2-282,c,EPIC 220554210 c,Transit,0.70531,0.00005,-0.00005,0,,,,0,,,,0,502.28,7.77,-7.77,0,13.818,,0,K2
EPIC 220674823,b,EPIC 220674823 b,Transit,0.571331,0.00002,-0.000021,0,0.0134,0.0002,-0.0002,0,,,,0,246.1,2.97,-2.97,0,11.954,,0,K2
EPIC 220674823,c,EPIC 220674823 c,Transit,13.339079,0.00194,-0.001859,0,0.1091,0.0014,-0.0015,0,,,,0,246.1,2.97,-2.97,0,11.954,,0,K2
EPIC 246851721,b,EPIC 246851721 b,Transit,6.180235,0.000014,-0.000014,0,0.07229,0.00074,-0.00075,0,,,,0,336.7,8.4,-8,0,11.255,,0,K2
