pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
GJ 3512,b,GJ 3512 b,Radial Velocity,0.338,0.008,-0.0084,0,0.4356,0.0042,-0.0042,0,0,Calar Alto Observatory
GJ 357,b,GJ 357 b,Transit,0.035,0.002,-0.002,0,,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,c,GJ 357 c,Radial Velocity,0.061,0.004,-0.004,0,,,,0,0,Multiple Observatories
GJ 357,d,GJ 357 d,Radial Velocity,0.204,0.015,-0.015,0,,,,0,0,Multiple Observatories
GJ 3634,b,GJ 3634 b,Radial Velocity,0.0287,0.001,-0.0011,0,0.08,0.094,-0.057,0,0,La Silla Observatory
GJ 3779,b,GJ 3779 b,Radial Velocity,0.026,0.001,-0.001,0,0.07,0.05,-0.05,0,0,Calar Alto Observatory
GJ 3942,b,GJ 3942 b,Radial Velocity,0.0608,0.0068,-0.0068,0,0.121,0.118,-0.118,0,0,Roque de los Muchachos Observatory
GJ 3998,b,GJ 3998 b,Radial Velocity,0.029,0.001,-0.001,0,0,,,0,0,Roque de los Muchachos Observatory
GJ 3998,c,GJ 3998 c,Radial Velocity,0.089,0.003,-0.003,0,0.049,0.052,-0.034,0,0,Roque de los Muchachos Observatory
GJ 411,b,GJ 411 b,Radial Velocity,0.0785,0.0027,-0.0027,0,0.22,0.13,-0.13,0,0,Haute-Provence Observatory
GJ 422,b,GJ 422 b,Radial Velocity,0.111,0.004,-0.004,0,0.11,0.04,-0.04,0,0,Multiple Observatories
GJ 4276,b,GJ 4276 b,Radial Velocity,0.082,0.002,-0.002,0,0.37,0.03,-0.03,0,0,Calar Alto Observatory
GJ 433,b,GJ 433 b,Radial Velocity,0.062,0.002,-0.002,0,0.04,0.03,-0.03,0,0,La Silla Observatory
GJ 433,c,GJ 433 c,Radial Velocity,4.819,0.417,-0.417,0,0.12,0.07,-0.07,0,0,Multiple Observatories
GJ 433,d,GJ 433 d,Radial Velocity,0.178,0.006,-0.006,0,0.07,0.05,-0.05,0,0,Multiple Facilities
GJ 436,b,GJ 436 b,Radial Velocity,0.0291,0.0015,-0.0015,0,0.13827,0.00018,-0.00018,0,0,W. M. Keck Observatory
GJ 504,b,GJ 504 b,Imaging,43.5,,,0,,,,,0,Subaru Telescope
GJ 536,b,GJ 536 b,Radial Velocity,0.06661,0.000011,-0.000013,0,0.08,0.09,-0.06,0,0,La Silla Observatory
GJ 581,b,GJ 581 b,Radial Velocity,0.04061,0.00003,-0.00003,0,0,0.03,-0.03,0,0,La Silla Observatory
GJ 581,c,GJ 581 c,Radial Velocity,0.0721,0.0003,-0.0003,0,0,0.06,-0.06,0,0,La Silla Observatory
GJ 581,e,GJ 581 e,Radial Velocity,0.02815,0.00006,-0.00006,0,0,0.06,-0.06,0,0,La Silla Observatory
GJ 625,b,GJ 625 b,Radial Velocity,0.078361,0.000044,-0.000046,0,0.13,0.12,-0.09,0,0,Multiple Observatories
GJ 649,b,GJ 649 b,Radial Velocity,1.135,0.035,-0.035,0,0.3,0.08,-0.08,0,0,W. M. Keck Observatory
