Companion,alpha(deg),delta(deg),MG(mag),sep(au),mass(Msun),Teff(K),Flags
Kepler-636 B,293.5916136,41.09510304,6.258+0.356,614, 0.787+0.031,4836+137,⋆⋆⋆
Kepler-517 B,293.673115,41.295275,10.351+0.134,1898,0.311+0.014,3427+15,  2MA BPRP
Kepler-78 B,293.7390827,44.4482606,10.543+0.072,921, 0.289+0.014,3399+20,  PRI 2MA BPRP
HD 185269 BC,294.2989644,28.50075294,10.338+0.056,235, 0.312+0.008,3429+8,PRI BPRPa
KOI-4427 B,295.1155591,39.27421284,11.624+0.364,1464,0.188+0.026,3233+49, 2MA BPRP
Kepler-197 B,295.2255691,50.55778306,6.820+0.201,1876,0.725+0.018,4548+84,PRI 2MA BPRP
Kepler-1086 A,295.2544691,45.83919767,6.204+0.135,7476,0.793+0.016,4863+69,  PRI 2MA BPRP
Kepler-908 C,295.3228642,39.37444717,11.255+0.216,2144,0.219+0.015,3291+23,  2MA
Kepler-908 B,295.3230521,39.37425282,10.841+0.216,2370,0.259+0.015,3353+23, 2MA BPRP
16 Cyg AC,295.4529704,50.52437636,4.092+0.333,841, 1.077+0.011,5915+27,PRI 2MA BPRP
Kepler-743 B,295.5736974,42.8060441,9.086+0.132,553, 0.480+0.010,3649+15,
Kepler-136 B,296.4674017,42.60121984,9.412+0.063,3715,0.438+0.008,3582+13,  2MA BPRP
Kepler-1008 B,296.5496605,44.93374931,9.590+0.058,8417,0.415+0.004,3545+6,PRI 2MA BPRP
Kepler-1150 A,296.7263627,49.53649548,5.824+0.117,5225,0.840+0.002,5067+9, PRI 2MA BPRP
Kepler-353 B,296.8591432,41.75505796,7.366+0.500,5012,0.667+0.048,4282+215,PRI 2MA BPRP
Kepler-755 B,296.8607172,41.0967694,8.573+0.291,832, 0.538+0.015,3798+46,  PRI BPRP
HAT-P-41 B,297.3225812,4.671411172, 6.024+0.416,1271,0.815+0.043,4959+183, PRI BPRP
Kepler-89 B,297.3356677,41.89047734,6.903+0.319,3545,0.716+0.025,4505+116, PRI 2MA BPRP
Kepler-99 A,297.3563142,41.30380519,5.558+0.148,3126,0.873+0.030,5211+128, PRI 2MA BPRP
Kepler-538 B,297.481094,49.62661758,12.946+0.077,2697,0.124+0.001,3009+4, 2MA BPRP
HD 188015 B,298.0232163,28.10065034,11.609+0.154,661, 0.189+0.023,3236+44,  PRI 2MA BPRP
Kepler-519 B,299.3189584,41.3845094,8.972+0.104,522, 0.494+0.014,3673+33,  PRI BPRP
HD 189733 B,300.1790177,22.70840049,11.447+0.243,226, 0.200+0.008,3262+12,  PRI 2MA BPRP
